directions,hidden,id,lat,lon,name,showDestinationSelector,route
"['52_0_var3', '52_0_var2', '52_0_var1', '52_0_var0']",False,BSTP35125,45.4085499,-65.96766,Arts & Culture Park - Quispamsis,True,52
['52_0_var0'],False,BSTP34696,45.28169,-66.0518,Hotel Courtney Bay,True,52
['52_0_var0'],False,BSTP34698,45.2803999,-66.05183,Crown Street,True,52
['52_0_var0'],False,BSTP34693,45.27874,-66.0518899,Boys & Girls Club - Crown St.,True,52
['52_0_var0'],False,BSTP34337,45.27652,-66.0512499,Prince Charles School - Union St.,True,52
['52_0_var0'],False,BSTP34334,45.2760399,-66.05399,Giant Tiger - Prince Edward Square,True,52
['52_0_var0'],False,BSTP34332,45.2744299,-66.05747,Sydney St. & King's Square North,True,52
['52_0_var0'],False,BSTP34431_ar,45.2741999,-66.05849,King's Square North,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP34431,45.2741999,-66.05849,King's Square North,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP34321,45.2729999,-66.0588499,Royal Bank - Charlotte St.,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP34331,45.2747499,-66.05726,Golden Ball - Sydney Street,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP34333,45.2756199,-66.05535,300 Union Street,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP34335,45.27608,-66.0526199,Union St & Pitt St.,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP34697,45.28187,-66.05155,Crown Street,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP35130,45.3474299,-66.01782,Kennebecasis Park,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP35132,45.3710199,-66.00979,Riverside Golf Club,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP35133,45.3898899,-65.99703,Church St. & Gondola Point Rd.,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP35134,45.3936099,-65.98712,Rothesay Arena,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP35135,45.4049399,-65.96986,Lila Court,True,52
"['52_0_var3', '52_0_var2', '52_0_var1']",False,BSTP35124_ar,45.4213699,-65.9515,Kennebecasis United Baptist Church - Quispamsis,True,52
"['53_0_var0', '53_0_var2']",False,BSTP34431,45.2741999,-66.05849,King's Square North,True,53
"['53_0_var0', '53_0_var2']",False,BSTP34321,45.273,-66.0588499,Royal Bank - Charlotte St.,True,53
